Sensor ID,Address
1,"0x28, 0x2B, 0x05, 0xA8, 0x08, 0x00, 0x00, 0x12"
2,"0x28, 0xFF, 0x65, 0xB5, 0x85, 0x16, 0x03, 0x68"
3,"0x28, 0x46, 0xE8, 0xA7, 0x08, 0x00, 0x00, 0x37"
